Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0.12;55.51;0;23408.05;1.79;0;0;0.3;0;55.39;42.28;0;
basic-slurm-dy-c7g-4xlarge-3;_ALL;_ALL;0.12;55.51;0;23408.05;1.79;0;0;0.3;0;55.39;42.28;0;
basic-slurm-dy-c7g-4xlarge-3;389;_ALL;0.12;55.51;0;23408.05;1.79;0;0;0.3;0;55.39;42.28;0;
basic-slurm-dy-c7g-4xlarge-3;389;531;0;96.6;0;824;3.4;0;0;0;0;4.12;0;0;
basic-slurm-dy-c7g-4xlarge-3;389;547;0;96.48;0;824;3.52;0;0;0;0;4.12;0;0;
basic-slurm-dy-c7g-4xlarge-3;389;529;0;96.6;0;824;3.4;0;0;0;0;4.12;0;0;
basic-slurm-dy-c7g-4xlarge-3;389;550;0;96.6;0;824;3.4;0;0;0;0;4.12;0;0;
basic-slurm-dy-c7g-4xlarge-3;389;552;0;96.48;0;823;3.52;0;0;0;0;4.12;0;0;
basic-slurm-dy-c7g-4xlarge-3;389;538;0;96.6;0;824;3.4;0;0;0;0;4.12;0;0;
basic-slurm-dy-c7g-4xlarge-3;389;536;0;96.7;0;819;3.3;0;0;0;0;4.1;0;0;
basic-slurm-dy-c7g-4xlarge-3;389;527;0;96.56;0;814;3.44;0;0;0;0;4.07;0;0;
basic-slurm-dy-c7g-4xlarge-3;389;528;0;96.6;0;824;3.4;0;0;0;0;4.12;0;0;
basic-slurm-dy-c7g-4xlarge-3;389;530;0;96.61;0;825;3.39;0;0;0;0;4.13;0;0;
basic-slurm-dy-c7g-4xlarge-3;389;532;0;96.6;0;824;3.4;0;0;0;0;4.12;0;0;
basic-slurm-dy-c7g-4xlarge-3;389;535;0;96.6;0;824;3.4;0;0;0;0;4.12;0;0;
basic-slurm-dy-c7g-4xlarge-3;389;537;0;96.59;0;820;3.41;0;0;0;0;4.1;0;0;
basic-slurm-dy-c7g-4xlarge-3;389;539;0;96.59;0;820;3.41;0;0;0;0;4.1;0;0;
basic-slurm-dy-c7g-4xlarge-3;389;534;0;96.82;0;817;3.18;0;0;0;0;4.09;0;0;
basic-slurm-dy-c7g-4xlarge-3;389;389;0.25;9.78;0;11078.04;0;0;0;0.64;0;55.39;89.33;0;
